,word,second_category,first_category,B2B_ind,cut_phrase1,rlist1,f_result,hit_words,cross_set,plist,source,cut_phrase,rlist,result,second_hit_words,second_cross_set,second_plist,source_2,result_ind,baike_words_list,baike_json_list,baike_first_result,baike_second_result,f_success_ind,success_ind,amb_success_ind
0,聚苯板,建材服务,能源材料,B2B,['聚苯板'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['聚苯板'],"['', '', '', 0, '交叉dict']",橡塑涂料,,,0,交叉dict,B2B,"[['泡沫板'], ['泡沫板']]","[{'description': '聚苯板用作保温层，全称聚苯乙烯泡沫板，又名泡沫板或EPS板。是由含有挥发性液体发泡剂的可发性聚苯乙烯珠粒，经加热预发后在模具中加热成型的具有微细闭孔结构的白色固体。...', '中文名': '聚苯板', '别名': '泡沫板', '全称': '聚苯乙烯泡沫板', '主要用途': '用作防水层的保护层', '聚苯板种类': '挤塑聚苯板（XPS)、模塑聚苯板（EPS）、石墨聚苯板等'}, {'description': '聚苯板用作保温层，全称聚苯乙烯泡沫板，又名泡沫板或EPS板。是由含有挥发性液体发泡剂的可发性聚苯乙烯珠粒，经加热预发后在模具中加热成型的具有微细闭孔结构的白色固体。...', '中文名': '聚苯板', '别名': '泡沫板', '全称': '聚苯乙烯泡沫板', '主要用途': '用作防水层的保护层', '聚苯板种类': '挤塑聚苯板（XPS)、模塑聚苯板（EPS）、石墨聚苯板等'}]",能源材料,橡塑涂料,1,0,1
1,二极管,电子元器件,工业制造,B2B,['二极管'],"['工业制造', ['二极管'], 0, 0, 0, '唯一dict']",工业制造,['二极管'],0,0,唯一dict,['二极管'],"['仪器仪表', ['二极管'], 0, 0, '唯一dict']",仪器仪表,['二极管'],0,0,唯一dict,B2B,,,,,1,0,1
2,透水混凝土,建材服务,能源材料,B2B,"['透水', '混凝土']","['能源材料', ['透水', '混凝土'], 0, 0, '唯一筛选']",能源材料,"['透水', '混凝土']",0,0,唯一筛选,"['透水', '混凝土']","['建材服务', ['透水', '混凝土'], 0, 0, '唯一dict']",建材服务,"['透水', '混凝土']",0,0,唯一dict,B2B,,,,,1,1,1
3,制砂机,工业设备,工业制造,B2B,['制砂机'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['制砂机'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': '新型制砂机（立轴式冲击破碎机）适用于硬度不高于320Pa的软或中硬和极硬矿石物料的破碎，制砂机广泛运用于大的、冶炼、建材、公路、铁路、水利和化学工业等众多部门。...', '中文名': '制砂机', '外文名': 'Impact Crusher', '适用于': '软或中硬和极硬物料的破碎', '应用': '建材、水利和化学工业等部门', '领域': '矿山破碎、桥梁隧道、建筑工程'}, {'description': '新型制砂机（立轴式冲击破碎机）适用于硬度不高于320Pa的软或中硬和极硬矿石物料的破碎，制砂机广泛运用于大的、冶炼、建材、公路、铁路、水利和化学工业等众多部门。...', '中文名': '制砂机', '外文名': 'Impact Crusher', '适用于': '软或中硬和极硬物料的破碎', '应用': '建材、水利和化学工业等部门', '领域': '矿山破碎、桥梁隧道、建筑工程'}]",能源材料,建材服务,0,0,1
4,气泡膜,建材服务,能源材料,B2B,['气泡膜'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['气泡膜'],"['', '', '', 0, '交叉dict']",橡塑涂料,,,0,交叉dict,B2B,"[['气垫膜', '气泡布', '气泡纸', '气珠膜'], ['气垫膜', '气泡布', '气泡纸', '气珠膜']]","[{'description': '气泡膜，是以高压聚乙烯为主要原料，再添加增白剂、开口剂等辅料，经230度左右高温挤出吸塑成气泡的产品。是一种质地轻、透明性好、无毒、无味的新型塑料包装材料，可对产品起防湿、缓冲、保温等作用。也叫气泡垫。...', '中文名': '气泡膜', '外文名': 'ABF（Air Bubble Film）', '又名': '气垫膜、气珠膜、气泡布、气泡纸', '所属': '一种防压防潮防震的化工产品', '优点': '良好的减震性、抗冲击性、热合性', '功能': '抗震，防碎。产品保护。'}, {'description': '气泡膜，是以高压聚乙烯为主要原料，再添加增白剂、开口剂等辅料，经230度左右高温挤出吸塑成气泡的产品。是一种质地轻、透明性好、无毒、无味的新型塑料包装材料，可对产品起防湿、缓冲、保温等作用。也叫气泡垫。...', '中文名': '气泡膜', '外文名': 'ABF（Air Bubble Film）', '又名': '气垫膜、气珠膜、气泡布、气泡纸', '所属': '一种防压防潮防震的化工产品', '优点': '良好的减震性、抗冲击性、热合性', '功能': '抗震，防碎。产品保护。'}]",能源材料,橡塑涂料,1,0,1
5,有机肥设备,工业设备,工业制造,B2B,"['有机肥', '设备']","['工业制造', ['设备'], ['工业制造', '能源材料'], [0.0014461052631578946, 8.947368421052631e-07], '交叉概率']",工业制造,['设备'],"['工业制造', '能源材料']","[0.0014461052631578946, 8.947368421052631e-07]",交叉概率,"['有机肥', '设备']","['仪器仪表', ['设备'], 0, 0, '唯一dict']",仪器仪表,['设备'],0,0,唯一dict,B2B,,,,,1,0,1
6,球墨铸铁管,冶金矿产,工业制造,B2B,"['球墨铸铁', '管']","['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,"['球墨铸铁', '管']","['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[['为球管']],"[{'description': '球墨铸铁管是指使用18号以上的铸造铁水经添加球化剂后，经过离心球墨铸铁机高速离心铸造成的管材，简称为球管、球铁管和球墨铸管等。主要用于自来水的输送，是自来水管道理想的选择用料。...', '中文名': '球墨铸铁管', '外文名': 'nodular cast iron pipe', '辅助剂': '18号以上的铸造铁水', '机器': '离心球墨铸铁机', '过程': '离心浇筑', '简称': '球管、球铁管、球墨铸管', '成分': '碳、硅、锰、硫、磷、镁等', '执行标准': 'GB/T13295-2013 ISO2531/2003', '接口形式': 'T型、K型、N1型、S型', '规格型号': 'DN80-2600mm'}, {'description': '球墨铸铁是20世纪五十年代发展起来的一种高强度铸铁材料，其综合性能接近于钢，正是基于其优异的性能，已成功地用于铸造一些受力复杂，强度、韧性、耐磨性要求较高的零件。球墨铸铁已迅速发展为仅次于灰铸铁的、应用十分广泛的铸铁材料。所谓“以铁代钢”，主要指球墨铸铁。球墨铸铁是通过球化和孕育处理得到球状石墨，有效地提高了铸铁的机械性能，特别是提高了塑性和韧性，从而得到比碳钢还高的强度。...', '中文名': '球墨铸铁', '外文名': 'nodular cast iron / ductile iron (DI)', '作用': '提高了铸铁机械性能', '发展时间': '20世纪五十年代', '合金元素': 'C、Si、Mn、S、P等五大元素'}, {'description': '管姓源于姬姓，出自周文王之子叔鲜，属于以国名为氏。管氏是一个多民族、多源流的姓氏，在宋版《百家姓》中排序为第一百六十六位门阀，在当今姓氏排行榜上名列第一百四十三位，人口约一百一十五万九千余，占全国人口总数的0.073%左右。管氏在全国分布甚广，尤以江苏、山东等省多此姓，这二省管氏约占全国管氏人口的60%以上。...', '中文名': '管姓', '来源': '源于姬姓', '拼音': 'guǎn', '注音': 'ㄍㄨㄢˇ', '出自': '周文王之子叔鲜', '名人': '管仲'}]",能源材料,建材服务,0,0,1
7,钢卷尺,五金配件,工业制造,B2B,"['钢', '卷尺']","['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,"['钢', '卷尺']","['', '', '', 0, '交叉dict']",仪器仪表,,,0,交叉dict,B2B,[],"[{'description': '卷尺是日常生活中常用的工量具，是家庭必备工具之一。鲁班尺、风水尺、文公尺同样属于钢卷尺。钢卷尺是建筑和装修常用工具。...', '中文名': '钢卷尺', '外文名': 'Steel tape', '性质': '家庭必备工具之一', '作用': '建筑和装修常用', '学科': '测绘'}, {'description': '钢，是对含碳量质量百分比介于0.02%至2.11%之间的铁碳合金的统称。钢的化学成分可以有很大变化，只含碳元素的钢称为碳素钢（碳钢）或普通钢；在实际生产中，钢往往根据用途的不同含有不同的合金元素，比如：锰、镍、钒等等。人类对钢的应用和研究历史相当悠久，但是直到19世纪贝氏炼钢法发明之前，钢的制取都是一项高成本低效率的工作。如今，钢以其低廉的价格、可靠的性能成为世界上使用最多的材料之一，是建筑业、制造业和人们日常生活中不可或缺的成分。可以说钢是现代社会的物质基础。...', '中文名': '钢', '外文名': 'Steel', '繁体字': '鋼', '种类': '金属', '金属种类': '合金', '合金种类': '碳铁合金', '含碳量': '0.0218%-2.11%[1]'}, {'description': '卷尺是日常生活中常用的工量具。 大家经常看到的是钢卷尺，建筑和装修常用，也是家庭必备工具之一。分为纤维卷尺，皮尺，腰围尺等。鲁班尺，风水尺，文公尺同样是属于钢卷尺。...', '中文名': '卷尺', '外文名': 'tape', '描述': '日常生活中常用的工量具', '代表': '钢卷尺', '分类': '纤维卷尺，皮尺，腰围尺等'}]",工业制造,仪器仪表,1,0,1
8,集装箱,建材服务,能源材料,B2B,['集装箱'],"['能源材料', ['集装箱'], 0, 0, 0, '唯一dict']",能源材料,['集装箱'],0,0,唯一dict,['集装箱'],"['建材服务', ['集装箱'], 0, 0, '唯一dict']",建材服务,['集装箱'],0,0,唯一dict,B2B,,,,,1,1,1
9,风管,工业设备,工业制造,B2B,['风管'],"['能源材料', ['风管'], 0, 0, 0, '唯一dict']",能源材料,['风管'],0,0,唯一dict,['风管'],"['建材服务', ['风管'], 0, 0, '唯一dict']",建材服务,['风管'],0,0,唯一dict,B2B,,,,,0,0,1
10,检测仪,仪器仪表,工业制造,B2B,['检测仪'],"['工业制造', ['检测仪'], 0, 0, 0, '唯一dict']",工业制造,['检测仪'],0,0,唯一dict,['检测仪'],"['仪器仪表', ['检测仪'], 0, 0, '唯一dict']",仪器仪表,['检测仪'],0,0,唯一dict,B2B,,,,,1,1,1
11,电梯,工业设备,工业制造,B2B,['电梯'],"['能源材料', ['电梯'], 0, 0, 0, '唯一dict']",能源材料,['电梯'],0,0,唯一dict,['电梯'],"['建材服务', ['电梯'], 0, 0, '唯一dict']",建材服务,['电梯'],0,0,唯一dict,B2B,,,,,0,0,1
12,叶片,五金配件,工业制造,B2B,['叶片'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['叶片'],"['', '', '', 0, '交叉dict']",物品回收,,,0,交叉dict,B2B,[],"[{'description': '叶片是叶的主体部分，通常为一很薄的扁平体，有利于光穿透叶的组织以及最大面积的吸收光、二氧化碳进行光合作用。叶片有上表面（腹面）和下表面（背面）之分。有些植物叶片的两面或仅在背面生有各种毛状物，如柔毛、茸毛、硬毛、刺毛、鳞片状毛，或者有分枝的向四面辐射的星状毛等。叶的光合作用和蒸腾作用，主要通过叶片进行。叶片的全形称叶形，顶端称叶端或叶尖，基部称为叶基，周边称叶缘，叶片内分布有许多叶脉。解释叶片起源的学说有“顶枝学说”、“应力反馈学说”等。...', '中文名': '叶片', '外文名': 'Blade', '特征': '通常为一很薄的扁平体', '组成': '表皮、叶肉和叶脉'}, {'description': '叶片是叶的主体部分，通常为一很薄的扁平体，有利于光穿透叶的组织以及最大面积的吸收光、二氧化碳进行光合作用。叶片有上表面（腹面）和下表面（背面）之分。有些植物叶片的两面或仅在背面生有各种毛状物，如柔毛、茸毛、硬毛、刺毛、鳞片状毛，或者有分枝的向四面辐射的星状毛等。叶的光合作用和蒸腾作用，主要通过叶片进行。叶片的全形称叶形，顶端称叶端或叶尖，基部称为叶基，周边称叶缘，叶片内分布有许多叶脉。解释叶片起源的学说有“顶枝学说”、“应力反馈学说”等。...', '中文名': '叶片', '外文名': 'Blade', '特征': '通常为一很薄的扁平体', '组成': '表皮、叶肉和叶脉'}]",能源材料,物品回收,0,0,1
13,树枝粉碎机,工业设备,工业制造,B2B,"['树枝', '粉碎机']","['工业制造', ['粉碎机'], 0, 0, 0, '唯一dict']",工业制造,['粉碎机'],0,0,唯一dict,"['树枝', '粉碎机']","['仪器仪表', ['粉碎机'], 0, 0, '唯一dict']",仪器仪表,['粉碎机'],0,0,唯一dict,B2B,,,,,1,0,1
14,粉末涂料,建材服务,能源材料,B2B,['粉末涂料'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['粉末涂料'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': '粉末涂料是以固体树脂和颜料、填料及助剂等组成的固体粉末状合成树脂涂料。和普通溶剂型涂料及水性涂料不同，它的分散介质不是溶剂和水，而是空气。它具有无溶剂污染，100%成膜，能耗低的特点。粉末涂料有热塑性和热固性两大类。热塑性粉末涂料的涂膜外观(光泽和流平性)较差，与金属之间的附着力也差，所以在汽车涂装领域中应用极少， 汽车涂装一般采用热固性粉末涂料，热固性粉末涂料是以热固性合成树脂为成膜物质，在烘干过程中树脂先熔融，再经化学交联后固化成平整坚硬的涂膜。该种涂料形成的漆膜外观和各种机械性能及耐腐蚀性均能满足汽车涂饰的要求。...', '中文名': '粉末涂料', '外文名': 'Powder coating', '类别': '粉末状涂料', '优点': '无溶剂、无污染、', '状态': '微细粉末', '类型': '热固性，热塑性', '缺点': '边角上粉不均一、磕碰不易修补'}, {'description': '粉末涂料是以固体树脂和颜料、填料及助剂等组成的固体粉末状合成树脂涂料。和普通溶剂型涂料及水性涂料不同，它的分散介质不是溶剂和水，而是空气。它具有无溶剂污染，100%成膜，能耗低的特点。粉末涂料有热塑性和热固性两大类。热塑性粉末涂料的涂膜外观(光泽和流平性)较差，与金属之间的附着力也差，所以在汽车涂装领域中应用极少， 汽车涂装一般采用热固性粉末涂料，热固性粉末涂料是以热固性合成树脂为成膜物质，在烘干过程中树脂先熔融，再经化学交联后固化成平整坚硬的涂膜。该种涂料形成的漆膜外观和各种机械性能及耐腐蚀性均能满足汽车涂饰的要求。...', '中文名': '粉末涂料', '外文名': 'Powder coating', '类别': '粉末状涂料', '优点': '无溶剂、无污染、', '状态': '微细粉末', '类型': '热固性，热塑性', '缺点': '边角上粉不均一、磕碰不易修补'}]",能源材料,建材服务,1,1,1
15,挤塑板,建材服务,能源材料,B2B,['挤塑板'],"['能源材料', ['挤塑板'], 0, 0, 0, '唯一dict']",能源材料,['挤塑板'],0,0,唯一dict,['挤塑板'],"['橡塑涂料', ['挤塑板'], 0, 0, '唯一dict']",橡塑涂料,['挤塑板'],0,0,唯一dict,B2B,,,,,1,0,1
16,轻质抹灰石膏,建材服务,能源材料,B2B,"['轻质', '抹灰', '石膏']","['能源材料', ['轻质', '抹灰', '石膏'], ['能源材料', '能源材料', '能源材料'], 0, '唯一筛选']",能源材料,"['轻质', '抹灰', '石膏']","['能源材料', '能源材料', '能源材料']",0,唯一筛选,"['轻质', '抹灰', '石膏']","['建材服务', ['轻质', '抹灰', '石膏'], 0, 0, '唯一dict']",建材服务,"['轻质', '抹灰', '石膏']",0,0,唯一dict,B2B,,,,,1,1,1
